task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,ram_total_size,tracking_mode,on_cloud
Steps #1-1,2026-04-06T18:27:19,distilbert,4ab7a3a8-d5f0-4826-8dec-4af577d7d2aa,0.767680611461401,4.764395923647794e-07,6.206436490155105e-07,360.0,197.64695794167284,10.0,7.674015071243048e-05,4.2133367045948944e-05,2.131468875126706e-06,0.00012100498663350613,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #2-2,2026-04-06T18:27:19,distilbert,4ab7a3a8-d5f0-4826-8dec-4af577d7d2aa,0.6397053115069866,4.0400222279915285e-07,6.323910083262814e-07,360.0,208.49484816872447,10.0,6.385243721306322e-05,3.6981696254656526e-05,1.7733835253036686e-06,0.00010260751699302344,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #3-3,2026-04-06T18:27:20,distilbert,4ab7a3a8-d5f0-4826-8dec-4af577d7d2aa,0.6480746008455753,4.3250623692757356e-07,6.678232582270397e-07,360.0,245.64145327337255,10.0,6.423306390643119e-05,4.382975728134397e-05,1.7840770487156176e-06,0.00010984689823649075,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #4-4,2026-04-06T18:27:21,distilbert,4ab7a3a8-d5f0-4826-8dec-4af577d7d2aa,0.6376379393041134,4.0597700637275467e-07,6.371535205564343e-07,360.0,212.6313574207151,10.0,6.370922476053238e-05,3.763030787951038e-05,1.769535155552957e-06,0.00010310906779559573,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #5-5,2026-04-06T18:27:21,distilbert,4ab7a3a8-d5f0-4826-8dec-4af577d7d2aa,0.6405382975935936,4.0969784078694874e-07,6.400503475794484e-07,360.0,215.09198784397623,10.0,6.402275245636702e-05,3.825308616711709e-05,1.7782377855231372e-06,0.00010405407640900729,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #6-6,2026-04-06T18:27:22,distilbert,4ab7a3a8-d5f0-4826-8dec-4af577d7d2aa,0.6403213329613209,4.3198985620620837e-07,6.751799769580308e-07,360.0,247.62539069744884,10.0,6.395031381398441e-05,4.3989201849115034e-05,1.7762334344701634e-06,0.0001097157490975696,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #7-7,2026-04-06T18:27:22,distilbert,4ab7a3a8-d5f0-4826-8dec-4af577d7d2aa,0.6416955683380365,4.07496833670982e-07,6.35518679326984e-07,360.0,211.35310953643148,10.0,6.408793423324821e-05,3.7627252325478366e-05,1.7798833342062106e-06,0.0001034950698929328,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #8-8,2026-04-06T18:27:23,distilbert,4ab7a3a8-d5f0-4826-8dec-4af577d7d2aa,0.6481717526912689,4.3113253507495686e-07,6.655774923525963e-07,360.0,241.51260320273346,10.0,6.44614307209849e-05,4.324614570805352e-05,1.7904323008325365e-06,0.00010949800872987097,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #9-9,2026-04-06T18:27:24,distilbert,4ab7a3a8-d5f0-4826-8dec-4af577d7d2aa,0.6468041781336069,4.0852004234667073e-07,6.319856385452754e-07,360.0,207.54107019001904,10.0,6.467331349849703e-05,3.728530760582771e-05,1.7963208775553456e-06,0.00010375494198188004,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #10-10,2026-04-06T18:27:24,distilbert,4ab7a3a8-d5f0-4826-8dec-4af577d7d2aa,0.6485502887517214,4.3252118527014143e-07,6.673883058957435e-07,360.0,241.79130801705585,10.0,6.463947594165806e-05,4.341586806333453e-05,1.7953507757435235e-06,0.00010985069478073597,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #11-11,2026-04-06T18:27:25,distilbert,4ab7a3a8-d5f0-4826-8dec-4af577d7d2aa,0.6452026795595884,4.078287902726203e-07,6.326589457159113e-07,360.0,208.2441981210419,10.0,6.448525227606297e-05,3.730308540639271e-05,1.7910417531513517e-06,0.00010357937943560698,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
Steps #12-12,2026-04-06T18:27:26,distilbert,4ab7a3a8-d5f0-4826-8dec-4af577d7d2aa,0.6501359157264233,4.3313540306668767e-07,6.666830186188813e-07,360.0,240.5890302988573,10.0,6.48588055744767e-05,4.334642355985352e-05,1.8014632113691828e-06,0.0001100066923456996,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,4,machine,N
