run_num,model,batch_size,step,step_end_time_s,loss,step_time_ns,forward_time_ns,backward_time_ns,optimizer_time_ns
3,DistilBert,64,1,0.765441227,10.482891082763672,764329428,317361668,414267377,32510660
3,DistilBert,64,2,1.408422826,10.094504356384277,642283177,224164622,405326360,12245955
3,DistilBert,64,3,2.059966765,9.143301010131836,650769385,227018682,411488139,11923839
3,DistilBert,64,4,2.706347184,9.2688570022583,645785248,227578982,406018892,11869109
3,DistilBert,64,5,3.352971407,8.955948829650879,646052793,227971789,405859530,11922489
3,DistilBert,64,6,3.999209723,8.804849624633789,645662056,226053605,407473968,11845078
3,DistilBert,64,7,4.642830894,8.495381355285645,643172883,227849446,403140571,11865208
3,DistilBert,64,8,5.296958648,7.987023830413818,653638256,228658351,412225841,12286685
3,DistilBert,64,9,5.943651542,7.619115829467773,645979721,228643660,405214998,11782276
3,DistilBert,64,10,6.591940475,7.048880100250244,647837435,227913418,407816304,11805607
3,DistilBert,64,11,7.246295303,6.426627159118652,653898630,229036658,412726090,11839378
3,DistilBert,64,12,7.894369131,6.0003767013549805,647482908,227925668,407477517,11797247
3,DistilBert,64,13,8.543321475,5.670833587646484,648484516,230227899,405989032,11933759
3,DistilBert,64,14,9.201251166,5.150310516357422,657366491,229875512,415345946,11853338
3,DistilBert,64,15,9.851512493,4.75247049331665,649807669,229611778,407881165,11933999
3,DistilBert,64,16,10.497357533,4.185277462005615,645220508,230020285,402953058,11907580
3,DistilBert,64,17,11.15224459,3.7647156715393066,654335938,229383404,412874793,11784097
3,DistilBert,64,18,11.806019489,3.3490495681762695,653273750,230953541,410146604,11857498
3,DistilBert,64,19,12.454300281,2.939208507537842,647748033,229639868,406091674,11750526
3,DistilBert,64,20,13.111427888,2.556652784347534,656729080,230737068,413612395,12056682
3,DistilBert,64,21,13.765631984,2.214116096496582,653639696,231452480,410055543,11836257
3,DistilBert,64,22,14.415351441,1.9862562417984009,649288620,230519324,406714704,11773287
3,DistilBert,64,23,15.075111055,1.617802381515503,659323246,230789329,416238081,11919849
3,DistilBert,64,24,15.726388249,1.2946488857269287,650640793,230829849,407723763,11779287
3,DistilBert,64,25,16.375419815,1.0522785186767578,648581478,231731944,404700529,11850318
3,DistilBert,64,26,17.034076188,0.8389873504638672,658099184,229837821,416245372,11731446
3,DistilBert,64,27,17.685488385,0.6694973111152649,650930588,230022396,408893883,11718345
3,DistilBert,64,28,18.334560681,0.5263321995735168,648552637,230393442,405925661,11911339
3,DistilBert,64,29,18.990960006,0.4128563404083252,655878406,230238289,413546914,11797046
3,DistilBert,64,30,19.643839519,0.31970110535621643,652426844,232106372,407882015,12076692
3,DistilBert,64,31,20.291727513,0.24924132227897644,647295204,229287941,405871860,11826167
3,DistilBert,64,32,20.944011266,0.19339489936828613,651855835,228082761,411670762,11803966
3,DistilBert,64,33,21.58727653,0.1517174243927002,642821987,231267947,399461007,11769537
3,DistilBert,64,34,22.240961147,0.12013418972492218,653254240,228827384,411949826,12051452
3,DistilBert,64,35,22.887522368,0.096321702003479,645847929,228171053,405552404,11802097
3,DistilBert,64,36,23.53862108,0.07862009108066559,650635093,228766903,409891350,11697406
3,DistilBert,64,37,24.186524526,0.06541316211223602,647460738,228577280,406647564,11916479
3,DistilBert,64,38,24.836978965,0.055193282663822174,649913500,229440604,408533786,11646145
3,DistilBert,64,39,25.48541007,0.047379981726408005,647973816,228390176,407557199,11744337
3,DistilBert,64,40,26.139767249,0.04118127375841141,653907271,229731880,412025788,11836377
3,DistilBert,64,41,26.788131842,0.036183033138513565,647874055,228565829,407264474,11752877
3,DistilBert,64,42,27.436139989,0.03222673758864403,647592429,229948654,405554264,11804247
3,DistilBert,64,43,28.091106519,0.029193170368671417,654528942,229105930,413439132,11693385
3,DistilBert,64,44,28.741300024,0.02648969739675522,649764538,228743993,408728980,11988360
3,DistilBert,64,45,29.386792018,0.02420671284198761,644946234,228818143,404177280,11664914
3,DistilBert,64,46,30.041679385,0.022327404469251633,654463010,230426791,412026748,11717886
3,DistilBert,64,47,30.69923272,0.02070285752415657,657173238,230524894,414609473,11755866
3,DistilBert,64,48,31.345767401,0.019415460526943207,646123364,229121849,404661189,11922688
3,DistilBert,64,49,31.999491339,0.01809420809149742,653070776,230612065,410351818,11804387
3,DistilBert,64,50,32.640967582,0.01704835146665573,641041125,229179510,399848444,11720696
3,DistilBert,64,51,33.291255089,0.01620807684957981,649838040,227980269,409785858,11779956
3,DistilBert,64,52,33.940303824,0.015355185605585575,648610618,229651659,406675294,11968460
3,DistilBert,64,53,34.594893647,0.014546811580657959,654097824,229555847,412469196,11764936
3,DistilBert,64,54,35.242873613,0.013911920599639416,647440517,227102234,408378524,11682145
3,DistilBert,64,55,35.895353939,0.013312745839357376,652077648,230073326,409981312,11751526
3,DistilBert,64,56,36.550775697,0.012734251096844673,654956890,230191328,412573037,11878708
3,DistilBert,64,57,37.208692028,0.01236891932785511,657417043,230152318,415162563,11812916
3,DistilBert,64,58,37.859136268,0.011831391602754593,650006013,230174588,407758333,11761906
3,DistilBert,64,59,38.513578418,0.011426867917180061,653934311,231389428,410538591,11720216
3,DistilBert,64,60,39.167243664,0.011001144535839558,653241979,230625236,410553232,11769357
3,DistilBert,64,61,39.819821852,0.010796759277582169,652155470,230718268,409124177,11968309
3,DistilBert,64,62,40.477465178,0.010487200692296028,657079217,231365569,413633806,11800547
3,DistilBert,64,63,41.129602888,0.010084814392030239,651695862,229289682,410338608,11786837
3,DistilBert,64,64,41.778793855,0.009889215230941772,648782320,230093476,406606173,11806007
3,DistilBert,64,65,42.436119676,0.009642302989959717,656897943,231821436,413074866,11646304
3,DistilBert,64,66,43.08792943,0.009371699765324593,651370696,228169682,410446360,12303386
